Si no,district,Oil Seeds_Hect_ Ground Nut,Oil Seeds_Hect_Sun Flower,Oil Seeds_Hect_Safflower,Oil Seeds_Hect_Castor,Oil Seeds_Hect_sesamum,Oil Seeds_Hect_ Niger seed,Oil Seeds_Hect_Soya bean,Oil Seeds_Hect_Linseed ,Oil Seeds_Hect_other oil Seeds ,Oil Seeds_Hect_ Total oil Seeds,state,district_code,wikidataId
2.0,BAGALAKOT,4683,4616,42,0,0,0,0,379,24,9744,karnataka,524,wikidataId/Q1910231
18.0,BELAGAVI,1933,0,0,0,1,0,8688,0,0,10622,karnataka,527,wikidataId/Q815464
26.0,BALLARI,332,210,297,17,19,2,0,0,14,891,karnataka,528,wikidataId/Q1791926
36.0,BIDAR,3,13,714,1,207,83,20121,20,1,21163,karnataka,529,wikidataId/Q1790568
40.0,VIJAYAPUR,2895,4617,350,0,10,1,5,0,0,7878,karnataka,530,wikidataId/Q83108
44.0,CHAMARAJANAGAR,744,562,0,35,174,6,8,0,22,1551,karnataka,531,wikidataId/Q862912
54.0,CHIKMAGALUR,105,150,1,11,650,1,6,1,0,925,karnataka,532,wikidataId/Q743077
62.0, CHITHRADURGA,7571,381,66,16,8,0,20,3,0,8065,karnataka,533,wikidataId/Q165264
73.0,DAVANAGERE,167,88,17,2,0,0,2,0,17,293,karnataka,535,wikidataId/Q1863214
77.0,DHARWAD,3567,3,719,0,2,0,13824,0,7,18122,karnataka,536,wikidataId/Q1790904
84.0,GADAG,6678,345,275,1,2,1,6,10,0,7318,karnataka,537,wikidataId/Q2353931
91.0,KALABURGI,116,4112,247,0,433,33,2302,15,0,7258,karnataka,538,wikidataId/Q2641873
99.0,HASSAN,14,1,0,2,0,1,3,0,0,21,karnataka,539,wikidataId/Q956732
104.0,HAVERI,3470,382,1,0,2,0,1295,0,13,5163,karnataka,540,wikidataId/Q765481
113.0,KOLAR,56,0,0,0,1,1,3,0,17,78,karnataka,542,wikidataId/Q2509866
117.0,KOPPALA,6348,6532,124,8,1995,76,3,9,5,15100,karnataka,543,wikidataId/Q956387
124.0,MANDYA,5,1,0,6,186,4,7,0,2,211,karnataka,544,wikidataId/Q2768290
131.0,MYSORE,1,2,8,16,4,1,16,0,0,48,karnataka,545,wikidataId/Q591781
138.0,RAICHUR,1302,141,228,212,2,1,0,0,2,1888,karnataka,546,wikidataId/Q1430830
143.0,RAMANAGARA,33,1,2,14,0,0,0,0,0,50,karnataka,631,wikidataId/Q427679
149.0,SHIVAMOGGA,7,0,0,0,0,0,0,0,31,38,karnataka,547,wikidataId/Q2981389
159.0,TUMKUR,298,4,0,12,2,0,2,4,0,322,karnataka,548,wikidataId/Q1301635
163.0, UDUPI,423,0,0,0,16,0,0,0,5,444,karnataka,549,wikidataId/Q1483337
177.0,YADAGIRI,21129,59,36,14,3,1,0,0,0,21242,karnataka,635,wikidataId/Q1786949
